embed_modality,fmri_modality,layer,condition,n_subjects,mean_normalized_r,sem,mean_r,p_value,q_value
vision,image,20,image_to_image,8,0.08769744728119294,0.018244284742224337,0.06192443680789443,9.999000099990002e-05,0.00012901935612890324
vision,image,21,image_to_image,8,0.08625459792782902,0.01941512250319541,0.060940766941891565,9.999000099990002e-05,0.00012901935612890324
vision,image,22,image_to_image,8,0.0838534958199976,0.01872882711779555,0.059346519538475605,9.999000099990002e-05,0.00012901935612890324
vision,image,23,image_to_image,8,0.08256976353041663,0.01962981834735315,0.058605370743509896,9.999000099990002e-05,0.00012901935612890324
vision,image,24,image_to_image,8,0.08174358276364557,0.018095319092552808,0.057853046889407074,9.999000099990002e-05,0.00012901935612890324
vision,image,25,image_to_image,8,0.08040746016748147,0.018013917569724192,0.05698921150919235,9.999000099990002e-05,0.00012901935612890324
vision,image,26,image_to_image,8,0.08269270735556708,0.016750216197265008,0.058600259310500086,9.999000099990002e-05,0.00012901935612890324
vision,text,0,image_to_text,8,0.0029696158994574123,0.002484716573379715,0.001769760147839275,0.22497750224977503,0.23681842342081583
vision,text,1,image_to_text,8,0.004184018923679838,0.0026899610761363015,0.002603774512172925,0.12498750124987501,0.13512162297283786
vision,text,2,image_to_text,8,0.002556712400860446,0.0035704820095833643,0.0015391180598393391,0.25917408259174085,0.26811111992249054
vision,text,3,image_to_text,8,0.002140474734973665,0.0025781465955148574,0.0013406796883436,0.28857114288571145,0.29099611047298635
vision,text,4,image_to_text,8,0.0024951826436532504,0.0029360346341071025,0.0014175194619949374,0.26587341265873415,0.2726906796499837
vision,text,5,image_to_text,8,0.0009684396714887498,0.004336984671090973,0.0005779988436912127,0.4016598340165983,0.4016598340165983
vision,text,6,image_to_text,8,0.0018267931219218996,0.003905045707826523,0.0013794220785302998,0.2826717328267173,0.28746277914581425
vision,text,7,image_to_text,8,0.0031386701198102378,0.003063299894756319,0.0023008679225975247,0.1643835616438356,0.17612524461839532
vision,text,8,image_to_text,8,0.00674521642930405,0.002230008801937002,0.0045326709890294685,0.028897110288971104,0.03366653625899546
vision,text,9,image_to_text,8,0.005665566873430351,0.002733130985003092,0.003974639359064513,0.047995200479952004,0.05485165769137372
vision,text,10,image_to_text,8,0.009662659134584951,0.003446467748848316,0.006548798484339813,0.0040995900409959,0.0051784295254685055
vision,text,11,image_to_text,8,0.008324541205742088,0.0026768309581682633,0.0057959292033509,0.009599040095990401,0.011753926648151511
vision,text,12,image_to_text,8,0.009582694629257139,0.0020751192238288555,0.00648821720853235,0.0044995500449955,0.005624437556244376
vision,text,13,image_to_text,8,0.007249483142257451,0.0028769845288684594,0.005008608151229295,0.022297770222977704,0.026232670850562006
vision,text,14,image_to_text,8,0.008046975782732125,0.0035904214733041982,0.005335759805938799,0.014898510148985102,0.017878212178782122
vision,text,15,image_to_text,8,0.009787286644308274,0.004526107406687066,0.006492342557717438,0.005499450054994501,0.006803443367003506
vision,text,16,image_to_text,8,0.010716910682860736,0.0037591282341398547,0.0071360783761996996,0.001999800019998,0.002552936195742128
vision,text,17,image_to_text,8,0.006201286743727462,0.0035936346464729785,0.004160053383571738,0.044795520447955206,0.051687138978409854
vision,text,18,image_to_text,8,0.00578193321883015,0.0038064444344848938,0.004054917743625467,0.054594540545945404,0.06180514024069291
vision,text,19,image_to_text,8,0.008036332486282775,0.003473473024769129,0.00532121668917895,0.017698230176982303,0.021027600210276002
vision,text,20,image_to_text,8,0.007974949243154637,0.0038682338192478133,0.005234904265773687,0.014698530146985302,0.017816400178164004
vision,text,21,image_to_text,8,0.0031802272022786876,0.003777319913533407,0.0018183875923359748,0.24897510248975102,0.25980010694582717
